timestamp,allocated_mb,reserved_mb,max_allocated_mb,percent_used
2025-03-28 00:29:49,0.00,0.00,0.00,0.00
2025-03-28 00:30:19,40.08,54.00,828.06,0.49
2025-03-28 00:30:49,40.08,1352.00,839.79,0.49
2025-03-28 00:31:19,2194.36,26780.00,26734.70,26.79
2025-03-28 00:31:50,16.47,40.00,26736.69,0.20
2025-03-28 00:32:20,16.47,40.00,26736.69,0.20
2025-03-28 00:32:50,26736.69,26764.00,26736.69,326.40
2025-03-28 00:33:20,702.14,26764.00,26736.69,8.57
2025-03-28 00:33:50,16.47,40.00,26736.69,0.20
2025-03-28 00:34:20,16.47,40.00,26736.69,0.20
2025-03-28 00:34:50,18.47,40.00,26736.69,0.23
2025-03-28 00:35:20,702.14,26764.00,26736.69,8.57
2025-03-28 00:35:51,16.47,40.00,26736.69,0.20
2025-03-28 00:36:21,16.47,40.00,26736.69,0.20
2025-03-28 00:36:51,16.47,40.00,26736.69,0.20
2025-03-28 00:37:21,16.47,40.00,26736.69,0.20
2025-03-28 00:37:51,16.47,40.00,26736.69,0.20
2025-03-28 00:38:21,16.47,40.00,26736.69,0.20
2025-03-28 00:38:51,16.47,40.00,26736.69,0.20
2025-03-28 00:39:21,16.47,40.00,26736.69,0.20
2025-03-28 00:39:51,16.47,40.00,26736.69,0.20
2025-03-28 00:40:21,16.47,40.00,26736.69,0.20
